Regulator	Target	Weight
Rora	Ccr2	1.0
Rorc	Ccr2	1.0
Runx2	Ccr2	1.0
Klf10	Cd2	1.0
Runx2	Cd2	2.0
Eomes	Cd226	1.0
Nfkb2	Cd226	2.0
Runx2	Cd226	-1.0
Sp6	Cd226	1.0
Eomes	Cd70	1.0
Klf10	Cd70	-1.0
Nfkb2	Cd70	2.0
Nfkbia	Cd70	2.0
Nfkbib	Cd70	2.0
Nfkbid	Cd70	2.0
Runx2	Cd70	-1.0
Nfkb2	Cd74	1.0
Sp6	Cd74	1.0
Nfkb2	Cd80	2.0
Nfkbia	Cd80	1.0
Nfkbib	Cd80	1.0
Nfkbid	Cd80	1.0
Sp6	Cd80	1.0
Nfkb2	Cd83	2.0
Runx2	Cd83	-1.0
Sp6	Cd83	1.0
Klf10	Cd8b1	-1.0
Runx2	Cd8b1	-1.0
Sp6	Cd8b1	1.0
Batf	Cdh17	1.0
Ets1	Cdh17	1.0
Fosl2	Cdh17	1.0
Hif1a	Cep170	1.0
Klf10	Cep170	1.0
Runx2	Cep170	1.0
Batf	Chd7	1.0
Ets1	Chd7	1.0
Fosl2	Chd7	1.0
Klf10	Chd7	1.0
Maf	Chd7	1.0
Rora	Chd7	1.0
Rorc	Chd7	1.0
Runx2	Chd7	2.0
Ets1	Chm	1.0
Fosl2	Chm	1.0
Rora	Chm	1.0
Rorc	Chm	1.0
Runx2	Chm	2.0
Ets1	Chst12	1.0
Klf10	Chst12	1.0
Runx2	Chst12	2.0
Klf10	Cib2	-1.0
Sp6	Cib2	1.0
Klf10	Ckmt1	-1.0
Sp6	Ckmt1	1.0
Ets1	Clec2l	1.0
Ets1	Clybl	1.0
Fosl2	Clybl	1.0
Klf10	Clybl	1.0
Runx2	Clybl	2.0
Klf10	Cmtm7	-1.0
Nfkb2	Cmtm7	2.0
Nfkbia	Cmtm7	1.0
Nfkbib	Cmtm7	1.0
Nfkbid	Cmtm7	1.0
Runx2	Cmtm7	-1.0
Sp6	Cmtm7	1.0
Batf	Cndp2	1.0
Ets1	Cndp2	1.0
Fosl2	Cndp2	1.0
Klf10	Cndp2	1.0
Klf10	Cnp	1.0
Ets1	Coch	1.0
Nfkb2	Col5a3	1.0
Sp6	Col5a3	1.0
Klf10	Comtd1	-1.0
Nfkb2	Comtd1	1.0
Sp6	Comtd1	1.0
Klf10	Cox6b2	-1.0
Nfkb2	Cox6b2	1.0
Nfkbia	Cox6b2	1.0
Nfkbib	Cox6b2	1.0
Nfkbid	Cox6b2	1.0
Sp6	Cox6b2	1.0
Nfkb2	Cpne2	1.0
Sp6	Cpne2	1.0
Klf10	Crip1	1.0
Rora	Crip1	1.0
Rorc	Crip1	1.0
Klf10	Crip2	-1.0
Nfkb2	Crip2	1.0
Sp6	Crip2	1.0
Batf	Crispld2	1.0
Fosl2	Crispld2	1.0
Klf10	Crispld2	1.0
Rora	Crispld2	1.0
Rorc	Crispld2	1.0
Ets1	Crtam	1.0
Eomes	Csf2	1.0
Nfkb2	Csf2	1.0
Runx2	Csf2	-1.0
Sp6	Csf2	1.0
Runx2	Cth	-1.0
Sp6	Cth	1.0
Batf	Ctla2a	1.0
Fosl2	Ctla2a	1.0
Maf	Ctla2a	1.0
Batf	Ctla2b	1.0
Ets1	Ctla2b	1.0
Fosl2	Ctla2b	1.0
Maf	Ctla2b	1.0
Runx2	Ctla2b	2.0
Batf	Ctla4	1.0
Ets1	Ctla4	1.0
Runx2	Ctla4	2.0
Klf10	Ctnna1	1.0
Klf10	Ctsw	1.0
Batf	Cxcr1	1.0
Klf10	Cxcr1	1.0
Runx2	Cxcr1	2.0
Klf10	Cxcr4	1.0
Nfkb2	Cxcr5	2.0
Nfkbia	Cxcr5	2.0
Nfkbib	Cxcr5	2.0
Nfkbid	Cxcr5	2.0
Runx2	Cxcr5	-1.0
Sp6	Cxcr5	1.0
Klf10	Cyp2s1	1.0
Rora	Cysltr1	1.0
Rorc	Cysltr1	1.0
Ets1	Cyth4	1.0
Klf10	Cyth4	1.0
Rora	Cyth4	1.0
Rorc	Cyth4	1.0
Runx2	Cyth4	1.0
Batf	Cytip	1.0
Ets1	Cytip	1.0
Fosl2	Cytip	1.0
Klf10	Cytip	1.0
Rora	Cytip	1.0
Rorc	Cytip	1.0
Runx2	Cytip	2.0
Batf	Dap	1.0
Ets1	Dap	1.0
Fosl2	Dap	1.0
Hif1a	Dap	1.0
Klf10	Dap	1.0
Runx2	Dap	1.0
Klf10	Dcxr	-1.0
Sp6	Dcxr	1.0
Klf10	Dgat1	1.0
Klf10	Dhrs1	1.0
Klf10	Dnm1	1.0
Klf10	Dnmt3a	-1.0
Nfkb2	Dnmt3a	1.0
Nfkbia	Dnmt3a	1.0
Nfkbib	Dnmt3a	1.0
Nfkbid	Dnmt3a	1.0
Osr2	Dnmt3a	1.0
Runx2	Dnmt3a	-1.0
Sp6	Dnmt3a	1.0
Klf10	Dpf1	1.0
Klf10	Dusp2	-1.0
Nfkb2	Dusp2	2.0
Nfkbia	Dusp2	2.0
Nfkbib	Dusp2	2.0
Nfkbid	Dusp2	2.0
Osr2	Dusp2	1.0
Runx2	Dusp2	-1.0
Sp6	Dusp2	1.0
Klf10	Dusp3	1.0
Klf10	Dusp4	-1.0
Nfkb2	Dusp4	1.0
Sp6	Dusp4	1.0
Batf	Dysf	1.0
Ets1	Dysf	1.0
Fosl2	Dysf	1.0
Klf10	Dysf	1.0
Maf	Dysf	1.0
Runx2	Dysf	2.0
Ets1	E330009j07rik	1.0
Klf10	E330009j07rik	1.0
Runx2	E330009j07rik	2.0
Batf	Ecm1	1.0
Fosl2	Ecm1	1.0
Klf10	Ecm1	1.0
Klf10	Efemp2	1.0
Hif1a	Egln1	1.0
Hif1a	Egln3	1.0
Klf10	Egr3	-1.0
Runx2	Egr3	-1.0
Sp6	Egr3	1.0
Batf	Eif4e3	1.0
Ets1	Eif4e3	1.0
Fosl2	Eif4e3	1.0
Klf10	Eif4e3	1.0
Rora	Eif4e3	2.0
Rorc	Eif4e3	2.0
Runx2	Eif4e3	1.0
Klf10	Ell2	-1.0
Nfkb2	Ell2	2.0
Runx2	Ell2	-1.0
Sp6	Ell2	1.0
Batf	Emb	1.0
Ets1	Emb	1.0
Fosl2	Emb	1.0
Klf10	Emb	1.0
Rora	Emb	2.0
Rorc	Emb	2.0
Runx2	Emb	2.0
Ets1	Emilin2	1.0
Fosl2	Emilin2	1.0
Runx2	Emilin2	2.0
Hif1a	Emp1	1.0
Nfkb2	Emr1	2.0
Osr2	Emr1	1.0
Klf10	Enah	1.0
Klf10	Eno3	-1.0
Nfkb2	Eno3	2.0
Osr2	Eno3	1.0
Sp6	Eno3	1.0
Klf10	Enpp2	1.0
Fosl2	Entpd1	1.0
Runx2	Entpd1	2.0
Batf	Eps8	1.0
Ets1	Eps8	1.0
Fosl2	Eps8	1.0
Maf	Eps8	1.0
Runx2	Eps8	1.0
Fosl2	Epsti1	1.0
Fosl2	Ermn	1.0
Hif1a	Ero1l	1.0
Klf10	Ero1l	1.0
Fosl2	Espn	1.0
Klf10	Espn	1.0
Rora	Espn	1.0
Rorc	Espn	1.0
Runx2	Espn	1.0
Batf	Ets1	1.0
Fosl2	Ets1	1.0
Klf10	Ets1	1.0
Rora	Ets1	2.0
Rorc	Ets1	2.0
Runx2	Ets1	2.0
Fosl2	F2r	1.0
Klf10	F2r	1.0
Rora	F2r	1.0
Rorc	F2r	1.0
Runx2	F2r	1.0
Batf	Faim3	1.0
Fosl2	Faim3	1.0
Klf10	Faim3	1.0
Rora	Faim3	2.0
Rorc	Faim3	2.0
