regulator	target	beta.sign.sum	beta.non.zero	var.exp.median	combined_confidences	prior	precision	recall
ccpA	rbsD	-20.0	20.0	0.946110356962	0.997103578434	-1	0.839154411765	0.350614439324
comK	comEB	20.0	20.0	0.90555103467	0.99710151619	1	0.839302112029	0.350998463902
ccpA	sacC	-20.0	20.0	0.891457828378	0.997100714207	-1	0.839449541284	0.351382488479
csoR	copA	-20.0	20.0	0.904179393734	0.997098537394	-1	0.839596700275	0.351766513057
sigF	yqhH	20.0	20.0	0.925778756681	0.997098537394	1	0.839743589744	0.352150537634
mhqR	yvaB	-20.0	20.0	0.932767562003	0.997095329459	-1	0.83989021043	0.352534562212
gmuR	gmuA	-20.0	20.0	0.920507768551	0.997091777816	-1	0.840036563071	0.35291858679
malR	mdxD	20.0	20.0	0.909806857596	0.997089944711	0	0.839269406393	0.35291858679
sigD	yvyF	20.0	20.0	0.915710818071	0.997084445394	1	0.839416058394	0.353302611367
purR	pbuG	-20.0	20.0	0.90843093757	0.997077342109	-1	0.839562443026	0.353686635945
ccpA	araN	-20.0	20.0	0.900838632959	0.997071728223	-1	0.83970856102	0.354070660522
gerE	cotC	20.0	20.0	0.900488451679	0.997068405719	1	0.839854413103	0.3544546851
sigL	rocA	20.0	20.0	0.918641199053	0.997064854076	1	0.84	0.354838709677
ccpC	yneN	-20.0	20.0	0.895998447584	0.997057521654	0	0.839237057221	0.354838709677
resD	ctaD	20.0	20.0	0.911049959534	0.997055688548	1	0.839382940109	0.355222734255
sigB	yvrE	20.0	20.0	0.911523588873	0.997055344841	1	0.839528558477	0.355606758833
codY	appF	-20.0	20.0	0.88936227069	0.99705419915	-1	0.839673913043	0.35599078341
