regulator	target	beta.sign.sum	beta.non.zero	var.exp.median	combined_confidences	prior	precision	recall
ykrK	ykrL	-20.0	20.0	0.999099418647	0.999998292081	-1	1.0	0.000380228136882
alsR	alsS	20.0	20.0	0.998832725928	0.999995445549	1	1.0	0.000760456273764
alsR	alsD	20.0	20.0	0.998850074378	0.999994079214	1	1.0	0.00114068441065
birA	bioD	-20.0	20.0	0.998051337247	0.999991801988	-1	1.0	0.00152091254753
birA	bioA	-20.0	20.0	0.997945822253	0.999988727734	-1	1.0	0.00190114068441
birA	bioF	-20.0	20.0	0.99771810682	0.999987589121	-1	1.0	0.00228136882129
mntR	mntD	-20.0	20.0	0.996974100818	0.999979049526	-1	1.0	0.00266159695817
nadR	nadC	-20.0	20.0	0.996625955325	0.99997495052	-1	1.0	0.00304182509506
mntR	mntA	-20.0	20.0	0.996545444053	0.999974381214	-1	1.0	0.00342205323194
yetL	yetM	-20.0	20.0	0.99666157682	0.999973925769	-1	1.0	0.00380228136882
birA	bioB	-20.0	20.0	0.995918921837	0.999970965376	-1	1.0	0.0041825095057
birA	bioI	-20.0	20.0	0.996442022909	0.999968460428	-1	1.0	0.00456273764259
mntR	mntC	-20.0	20.0	0.995837792028	0.999966524786	-1	1.0	0.00494296577947
mntR	mntB	-20.0	20.0	0.995600558564	0.999961856474	-1	1.0	0.00532319391635
birA	bioW	-20.0	20.0	0.995090880752	0.999957302023	-1	1.0	0.00570342205323
cggR	pgm	-20.0	20.0	0.995565338869	0.999956846578	-1	1.0	0.00608365019011
cysL	yvgQ	20.0	20.0	0.993864621062	0.999943752532	1	1.0	0.006463878327
cggR	tpiA	-20.0	20.0	0.995300031408	0.999943297087	-1	1.0	0.00684410646388
nadR	nadB	-20.0	20.0	0.994476542866	0.999940336693	-1	1.0	0.00722433460076
xpf	xkdI	20.0	20.0	0.99370947275	0.999939653526	1	1.0	0.00760456273764
padR	padC	-20.0	20.0	0.99370144187	0.999924168393	-1	1.0	0.00798479087452
spoIVCB	cotA	20.0	20.0	0.993228422729	0.999923826809	1	1.0	0.00836501901141
xpf	xkdF	20.0	20.0	0.993258891833	0.999920752555	1	1.0	0.00874524714829
spoIVCB	yisZ	20.0	20.0	0.99272305326	0.999918475329	1	1.0	0.00912547528517
citR	citA	-20.0	20.0	0.992894525791	0.999910163456	-1	1.0	0.00950570342205
ytrA	ytrB	-20.0	20.0	0.992932225777	0.999907658508	-1	1.0	0.00988593155894
xpf	xkdH	20.0	20.0	0.990945422775	0.999904925838	1	1.0	0.0102661596958
treR	treP	-20.0	20.0	0.991578472297	0.999903673364	-1	1.0	0.0106463878327
sigE	cotJA	20.0	20.0	0.99068547214	0.999890579318	1	1.0	0.0110266159696
sigE	spoIVFA	20.0	20.0	0.990331623989	0.999884886254	1	1.0	0.0114068441065
ytlI	ytnJ	20.0	20.0	0.990327056955	0.999876802104	1	1.0	0.0117870722433
